SUMLEV,STATE,,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
40,36,0,0,0,0,0,A,New York,New York,19378102,19378110,19405185,19526372,19625409,19712514,19773580,19819347,19836286,19849399
162,36,0,199,0,0,0,A,Adams ,New York,1775,1783,1790,1815,1852,1830,1827,1812,1759,1761
162,36,0,276,0,0,0,A,Addison ,New York,1763,1763,1762,1760,1746,1738,1724,1709,1696,1685
162,36,0,342,0,0,0,A,Afton ,New York,822,831,829,827,823,817,815,809,804,798
162,36,0,408,0,0,0,A,Airmont ,New York,8628,8625,8646,8729,8766,8821,8851,8863,8859,8888
162,36,0,441,0,0,0,A,Akron ,New York,2868,2890,2889,2882,2882,2887,2887,2877,2875,2874
162,36,0,1000,0,0,0,A,Albany ,New York,97856,97840,97756,98025,98550,98734,98673,98478,98387,98251
162,36,0,1033,0,0,0,A,Albion ,New York,6056,6073,6074,5980,5952,6062,6058,5991,5957,5902
162,36,0,1088,0,0,0,A,Alden ,New York,2605,2605,2604,2600,2613,2612,2602,2594,2581,2582
162,36,0,1154,0,0,0,A,Alexander ,New York,509,509,511,510,508,503,499,501,498,495
162,36,0,1187,0,0,0,A,Alexandria Bay ,New York,1078,1077,1076,1090,1113,1099,1097,1088,1056,1057
162,36,0,1198,0,0,0,A,Alfred ,New York,4174,4175,4176,4122,4051,4029,4063,4054,4050,4041
162,36,0,1286,0,0,0,A,Allegany ,New York,1816,1805,1802,1789,1776,1766,1755,1736,1728,1714
162,36,0,1440,0,0,0,A,Almond ,New York,466,466,466,464,459,457,454,450,445,442
162,36,0,1517,0,0,0,A,Altamont ,New York,1720,1717,1716,1718,1718,1719,1717,1709,1714,1708
162,36,0,1737,0,0,0,A,Ames ,New York,145,145,145,143,142,141,141,140,140,139
162,36,0,2044,0,0,0,A,Amityville ,New York,9523,9500,9510,9538,9523,9515,9494,9461,9542,9524
162,36,0,2066,0,0,0,A,Amsterdam ,New York,18620,18604,18612,18370,18246,18111,18060,17977,17870,17844
162,36,0,2143,0,0,0,A,Andover ,New York,1042,1041,1042,1037,1029,1023,1016,1007,1000,994
162,36,0,2176,0,0,0,A,Angelica ,New York,869,869,870,866,857,852,846,839,833,832
162,36,0,2198,0,0,0,A,Angola ,New York,2127,2136,2135,2134,2135,2136,2134,2127,2121,2119
162,36,0,2286,0,0,0,A,Antwerp ,New York,686,671,673,683,697,689,686,681,661,663
162,36,0,2407,0,0,0,A,Arcade ,New York,2071,2067,2063,2046,2038,2016,1992,1980,1962,1965
162,36,0,2506,0,0,0,A,Ardsley ,New York,4452,4408,4416,4451,4463,4493,4507,4583,4599,4589
162,36,0,2550,0,0,0,A,Argyle ,New York,306,302,302,302,300,300,298,298,295,294
162,36,0,2583,0,0,0,A,Arkport ,New York,844,845,845,845,838,833,827,817,811,805
162,36,0,2737,0,0,0,A,Asharoken ,New York,654,654,657,661,658,658,657,657,655,651
162,36,0,2902,0,0,0,A,Athens ,New York,1668,1673,1669,1658,1644,1634,1618,1619,1609,1603
162,36,0,2968,0,0,0,A,Atlantic Beach ,New York,1891,1888,1891,1899,1906,1910,1913,1916,1917,1922
162,36,0,3001,0,0,0,A,Attica ,New York,2547,2538,2541,2523,2518,2497,2472,2461,2438,2440
162,36,0,3078,0,0,0,A,Auburn ,New York,27687,27688,27663,27546,27356,27180,27068,27019,26779,26704
162,36,0,3188,0,0,0,A,Aurora ,New York,724,724,724,695,778,703,724,724,722,722
162,36,0,3331,0,0,0,A,Avoca ,New York,946,946,946,948,938,935,926,920,913,905
162,36,0,3353,0,0,0,A,Avon ,New York,3394,3381,3375,3360,3350,3326,3316,3304,3282,3252
162,36,0,3408,0,0,0,A,Babylon ,New York,12166,12160,12177,12208,12191,12192,12182,12173,12140,12145
162,36,0,4033,0,0,0,A,Bainbridge ,New York,1355,1365,1361,1357,1352,1343,1339,1327,1321,1311
162,36,0,4198,0,0,0,A,Baldwinsville ,New York,7378,7273,7279,7278,7358,7377,7380,7452,7584,7885
162,36,0,4253,0,0,0,A,Ballston Spa ,New York,5409,5416,5421,5425,5424,5419,5395,5400,5346,5340
162,36,0,4440,0,0,0,A,Barker ,New York,533,533,532,530,527,522,519,516,515,513
162,36,0,4528,0,0,0,A,Barneveld ,New York,284,284,284,283,285,284,283,281,280,279
162,36,0,4715,0,0,0,A,Batavia ,New York,15465,15398,15351,15327,15252,15081,14961,14892,14736,14661
162,36,0,4759,0,0,0,A,Bath ,New York,5786,5789,5787,5795,5727,5708,5668,5615,5571,5533
162,36,0,4803,0,0,0,A,Baxter Estates ,New York,999,1047,1049,1052,1052,1060,1062,1063,1063,1063
162,36,0,5034,0,0,0,A,Bayville ,New York,6669,6668,6678,6707,6725,6738,6750,6760,6761,6771
162,36,0,5100,0,0,0,A,Beacon ,New York,15541,14604,14634,14558,14470,14308,14210,14341,14253,14289
162,36,0,5639,0,0,0,A,Bellerose ,New York,1193,1166,1168,1172,1175,1174,1177,1178,1178,1180
162,36,0,5672,0,0,0,A,Belle Terre ,New York,792,790,791,795,797,800,796,797,791,794
162,36,0,5771,0,0,0,A,Bellport ,New York,2084,2084,2086,2093,2091,2093,2089,2085,2081,2076
162,36,0,5815,0,0,0,A,Belmont ,New York,969,969,970,965,954,948,942,934,925,920
162,36,0,5848,0,0,0,A,Bemus Point ,New York,364,367,374,372,369,367,363,359,356,354
162,36,0,6046,0,0,0,A,Bergen ,New York,1176,1164,1162,1157,1153,1141,1132,1126,1111,1106
162,36,0,6607,0,0,0,A,Binghamton ,New York,47376,47410,47357,47007,46734,46571,46362,46012,45593,45179
162,36,0,6794,0,0,0,A,Black River ,New York,1348,1350,1357,1373,1404,1377,1357,1325,1284,1284
162,36,0,6849,0,0,0,A,Blasdell ,New York,2553,2583,2584,2592,2610,2621,2630,2633,2636,2657
162,36,0,6945,0,0,0,A,Bloomfield ,New York,1361,1363,1356,1352,1346,1343,1338,1330,1320,1311
162,36,0,6959,0,0,0,A,Bloomingburg ,New York,420,425,425,422,422,427,424,418,418,416
162,36,0,7190,0,0,0,A,Bolivar ,New York,1047,1047,1048,1043,1030,1025,1017,1008,1002,996
162,36,0,7355,0,0,0,A,Boonville ,New York,2072,2072,2068,2067,2068,2059,2053,2034,2030,2028
162,36,0,8070,0,0,0,A,Brewster ,New York,2390,2419,2419,2417,2405,2405,2396,2387,2376,2377
162,36,0,8103,0,0,0,A,Briarcliff Manor ,New York,7867,7854,7859,7931,7935,7948,7992,8036,8039,8021
162,36,0,8323,0,0,0,A,Brightwaters ,New York,3103,3098,3100,3114,3111,3109,3103,3094,3081,3083
162,36,0,8422,0,0,0,A,Broadalbin ,New York,1327,1355,1353,1344,1331,1316,1305,1298,1293,1293
162,36,0,8466,0,0,0,A,Brockport ,New York,8366,8362,8365,8306,8402,8391,8368,8349,8309,8299
162,36,0,8488,0,0,0,A,Brocton ,New York,1486,1483,1484,1489,1479,1471,1458,1442,1425,1418
162,36,0,8532,0,0,0,A,Bronxville ,New York,6323,6284,6294,6333,6345,6384,6400,6420,6421,6547
162,36,0,10132,0,0,0,A,Brookville ,New York,3465,3474,3478,3516,3526,3545,3553,3572,3592,3614
162,36,0,10231,0,0,0,A,Brownville ,New York,1119,1125,1128,1144,1168,1154,1153,1142,1110,1112
162,36,0,10286,0,0,0,A,Brushton ,New York,474,460,460,458,458,454,452,448,445,443
162,36,0,10341,0,0,0,A,Buchanan ,New York,2230,2220,2224,2239,2242,2257,2262,2268,2276,2275
162,36,0,11000,0,0,0,A,Buffalo ,New York,261310,261433,261385,260930,260534,260630,260463,259522,258463,258612
162,36,0,11132,0,0,0,A,Burdett ,New York,340,340,339,339,337,334,331,327,325,323
162,36,0,11154,0,0,0,A,Burke ,New York,211,203,203,202,202,203,202,200,199,200
162,36,0,11704,0,0,0,A,Caledonia ,New York,2201,2201,2196,2185,2172,2156,2145,2139,2127,2147
162,36,0,11825,0,0,0,A,Cambridge ,New York,1870,1870,1873,1865,1861,1851,1842,1837,1825,1817
162,36,0,11847,0,0,0,A,Camden ,New York,2231,2230,2230,2231,2226,2221,2210,2201,2190,2190
162,36,0,11902,0,0,0,A,Camillus ,New York,1213,1261,1261,1258,1250,1247,1242,1233,1224,1214
162,36,0,12111,0,0,0,A,Canajoharie ,New York,2229,2234,2236,2205,2192,2175,2167,2161,2147,2142
162,36,0,12144,0,0,0,A,Canandaigua ,New York,10545,10591,10553,10545,10509,10498,10470,10419,10343,10289
162,36,0,12177,0,0,0,A,Canaseraga ,New York,550,546,546,544,538,535,529,525,521,518
162,36,0,12188,0,0,0,A,Canastota ,New York,4804,4785,4779,4754,4722,4713,4687,4643,4610,4566
